
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048072                       # Number of seconds simulated (Second)
simTicks                                  48071764000                       # Number of ticks simulated (Tick)
finalTick                                11997222411500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1005.94                       # Real time elapsed on the host (Second)
hostTickRate                                 47787914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9899644                       # Number of bytes of host memory used (Byte)
simInsts                                    200000004                       # Number of instructions simulated (Count)
simOps                                      302359584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96143528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.080223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226480357                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      226439695                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               258433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 624                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95738351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.365193                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.680542                       # Number of insts issued each cycle (Count)
system.ruby.dir_cntrl0.requestToMemory.m_avg_stall_time   281.952962                       # Average stall ticks per message ((Tick/Count))
system.ruby.dir_cntrl0.responseFromDir.m_msg_count       571688                       # Number of messages passed the buffer (Count)
system.ruby.dir_cntrl0.responseFromDir.m_buf_msgs     0.005946                       # Average number of messages in buffer ((Count/Tick))
system.ruby.dir_cntrl0.responseFromMemory.m_msg_count       548705                       # Number of messages passed the buffer (Count)
system.ruby.dir_cntrl0.responseFromMemory.m_buf_msgs     0.005707                       # Average number of messages in buffer ((Count/Tick))
system.ruby.dir_cntrl0.responseToDir.m_msg_count       285844                       # Number of messages passed the buffer (Count)
system.ruby.dir_cntrl0.responseToDir.m_buf_msgs     0.002973                       # Average number of messages in buffer ((Count/Tick))
system.ruby.dma_cntrl0.dma_sequencer.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.dma_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.io_controller.dma_sequencer.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.io_controller.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl0.fullyBusyCycles         1075716                       # cycles for which number of transistions == max transitions (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::samples      2723264                       # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::mean     0.220783                       # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::stdev     1.304580                       # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::0-1      2645405     97.14%     97.14% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::2-3         2425      0.09%     97.23% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::4-5         1443      0.05%     97.28% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::6-7         1534      0.06%     97.34% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::8-9        72229      2.65%     99.99% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::10-11            6      0.00%     99.99% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::12-13            4      0.00%     99.99% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::14-15            4      0.00%     99.99% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::16-17          212      0.01%    100.00% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::18-19            2      0.00%    100.00% # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.delayHistogram::total      2723264                       # delay_histogram (Unspecified)
system.ruby.l1_cntrl0.L1Dcache.m_demand_hits     41433916                       # Number of cache demand hits (Unspecified)
system.ruby.l1_cntrl0.L1Dcache.m_demand_misses      1356772                       # Number of cache demand misses (Unspecified)
system.ruby.l1_cntrl0.L1Dcache.m_demand_accesses     42790688                       # Number of cache demand accesses (Unspecified)
system.ruby.l1_cntrl0.L1Icache.m_demand_hits     14017864                       # Number of cache demand hits (Unspecified)
system.ruby.l1_cntrl0.L1Icache.m_demand_misses         4991                       # Number of cache demand misses (Unspecified)
system.ruby.l1_cntrl0.L1Icache.m_demand_accesses     14022855                       # Number of cache demand accesses (Unspecified)
system.ruby.l1_cntrl0.mandatoryQueue.m_msg_count     56813543                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.mandatoryQueue.m_buf_msgs     0.592276                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l1_cntrl0.mandatoryQueue.m_stall_time     64773500                       # Total number of ticks messages were stalled in this buffer (Tick)
system.ruby.l1_cntrl0.mandatoryQueue.m_stall_count          573                       # Number of times messages were stalled (Count)
system.ruby.l1_cntrl0.mandatoryQueue.m_avg_stall_time     1.140107                       # Average stall ticks per message ((Tick/Count))
system.ruby.l1_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numMissObserved            0                       # Number of misses observed (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numAllocatedStreams            0                       # Number of streams allocated for prefetching (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numPrefetchRequested            0                       # Number of prefetch requests made (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numHits            0                       # Number of prefetched blocks accessed (for the first time) (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numPartialHits            0                       # Number of misses observed for a block being prefetched (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numPagesCrossed            0                       # Number of prefetches across pages (Unspecified)
system.ruby.l1_cntrl0.prefetcher.RubyPrefetcher.numMissedPrefetchedBlocks            0                       # Number of misses for blocks that were prefetched, yet missed (Unspecified)
system.ruby.l1_cntrl0.requestFromL1Cache.m_msg_count      2718427                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.requestFromL1Cache.m_buf_msgs     0.056549                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l1_cntrl0.requestToL1Cache.m_msg_count         4837                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.requestToL1Cache.m_buf_msgs     0.000050                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l1_cntrl0.responseFromL1Cache.m_msg_count         4837                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.responseFromL1Cache.m_buf_msgs     0.000101                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l1_cntrl0.responseToL1Cache.m_msg_count      2718427                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.responseToL1Cache.m_buf_msgs     0.028275                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l1_cntrl0.sequencer.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl0.unblockFromL1Cache.m_msg_count      1356772                       # Number of messages passed the buffer (Count)
system.ruby.l1_cntrl0.unblockFromL1Cache.m_buf_msgs     0.014112                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.fullyBusyCycles              10                       # cycles for which number of transistions == max transitions (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::samples      4651724                       # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::mean     3.207298                       # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::stdev     6.222465                       # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::0-7      3309592     71.15%     71.15% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::8-15      1103549     23.72%     94.87% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::16-23       114264      2.46%     97.33% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::24-31        92027      1.98%     99.31% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::32-39        32236      0.69%    100.00% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::40-47           56      0.00%    100.00% # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.delayHistogram::total      4651724                       # delay_histogram (Unspecified)
system.ruby.l2_cntrl0.DirRequestFromL2Cache.m_msg_count       285844                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.DirRequestFromL2Cache.m_buf_msgs     0.005946                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.L1RequestFromL2Cache.m_msg_count         4837                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.L1RequestFromL2Cache.m_buf_msgs     0.000050                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.L1RequestToL2Cache.m_msg_count      2718427                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.L1RequestToL2Cache.m_buf_msgs     0.028275                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.L2cache.m_demand_hits      1075919                       # Number of cache demand hits (Unspecified)
system.ruby.l2_cntrl0.L2cache.m_demand_misses       285844                       # Number of cache demand misses (Unspecified)
system.ruby.l2_cntrl0.L2cache.m_demand_accesses      1361763                       # Number of cache demand accesses (Unspecified)
system.ruby.l2_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l2_cntrl0.responseFromL2Cache.m_msg_count      3004271                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.responseFromL2Cache.m_buf_msgs     0.045412                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.responseToL2Cache.m_msg_count       576525                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.responseToL2Cache.m_buf_msgs     0.005997                       # Average number of messages in buffer ((Count/Tick))
system.ruby.l2_cntrl0.unblockToL2Cache.m_msg_count      1356772                       # Number of messages passed the buffer (Count)
system.ruby.l2_cntrl0.unblockToL2Cache.m_buf_msgs     0.014112                       # Average number of messages in buffer ((Count/Tick))
system.ruby.memctrl_clk_domain.clock             1500                       # Clock period in ticks (Tick)
system.ruby.network.msg_count.Control         2244071                       (Unspecified)
system.ruby.network.msg_byte.Control         17952568                       (Unspecified)
system.ruby.network.msg_count.Request_Control         6850                       (Unspecified)
system.ruby.network.msg_byte.Request_Control        54800                       (Unspecified)
system.ruby.network.msg_count.Response_Data      2584499                       (Unspecified)
system.ruby.network.msg_byte.Response_Data    186083928                       (Unspecified)
system.ruby.network.msg_count.Response_Control      4072244                       (Unspecified)
system.ruby.network.msg_byte.Response_Control     32577952                       (Unspecified)
system.ruby.network.msg_count.Writeback_Data      1624552                       (Unspecified)
system.ruby.network.msg_byte.Writeback_Data    116967744                       (Unspecified)
system.ruby.network.msg_count.Writeback_Control       205995                       (Unspecified)
system.ruby.network.msg_byte.Writeback_Control      1647960                       (Unspecified)
system.ruby.network.power_state.pwrStateResidencyTicks::UNDEFINED 11997222411500                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.network.routers.percent_links_utilized     4.619200                       (Unspecified)
system.ruby.network.routers.msg_count.Control::0      2244071                       (Unspecified)
system.ruby.network.routers.msg_bytes.Control::0     17952568                       (Unspecified)
system.ruby.network.routers.msg_count.Request_Control::2         6850                       (Unspecified)
system.ruby.network.routers.msg_bytes.Request_Control::2        54800                       (Unspecified)
system.ruby.network.routers.msg_count.Response_Data::1      2584499                       (Unspecified)
system.ruby.network.routers.msg_bytes.Response_Data::1    186083928                       (Unspecified)
system.ruby.network.routers.msg_count.Response_Control::1      2240643                       (Unspecified)
system.ruby.network.routers.msg_count.Response_Control::2      1831601                       (Unspecified)
system.ruby.network.routers.msg_bytes.Response_Control::1     17925144                       (Unspecified)
system.ruby.network.routers.msg_bytes.Response_Control::2     14652808                       (Unspecified)
system.ruby.network.routers.msg_count.Writeback_Data::0      1624431                       (Unspecified)
system.ruby.network.routers.msg_count.Writeback_Data::1          121                       (Unspecified)
system.ruby.network.routers.msg_bytes.Writeback_Data::0    116959032                       (Unspecified)
system.ruby.network.routers.msg_bytes.Writeback_Data::1         8712                       (Unspecified)
system.ruby.network.routers.msg_count.Writeback_Control::0       205995                       (Unspecified)
